Rank,City Name,Total Points,Action Points,Met Share Points
1,Metro Life Alpha 2,38288,24265,14023
2,Metmordor,32569,18175,14394
3,Metshire,31904,13065,18839
4,Metro Manors,28611,15520,13091
5,Metmoria,28252,12920,15332
6,Degen City 2,21614,10080,11534
7,Goon Squad,19863,10920,8943
8,The Hive,19461,4415,15046
9,Metro Mafia,17563,8090,9473
10,Metro Estates,16667,12305,4362
11,C Venus,16658,2995,13663
12,The Garrison,16316,4790,11526
13,C Mercury,15710,2060,13650
14,C Mars,15675,3510,12165
15,Metro Towers,15243,9615,5628
16,AnZ Mothership,14926,6995,7931
17,Metro Life,14895,7680,7215
18,SecondOrder,14397,8590,5807
19,C Saturn,13960,3315,10645
20,BoopCity,13152,9190,3962
21,Metroplasia,12423,2360,10063
22,C Jupiter,12360,1130,11230
23,Metro Life Alpha,11228,4280,6948
24,Elite City III,10913,4065,6848
25,Mid City,9631,4420,5211
26,Degen City,9454,3795,5659
27,C Earth,8331,1000,7331
28,DemocraCity,8079,1985,6094
29,Metroburg,7061,3600,3461
30,Moon City,6569,370,6199
31,Misfit City I,4520,1315,3205
32,Elite City II,3831,1835,1996
33,Elite City X,3089,205,2884
34,Elite City Y,2892,30,2862
35,New York City,2634,160,2474
36,Elite City I,1279,1095,184
37,Elite City V,514,430,84